query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_469_read_201	201	5117	5063	22	4090	645	382	328	1355
channel_154_read_38	38	1267	1448	68	977	232	58	239	529
channel_154_read_39	39	1822	1941	36	1514	222	86	205	513
channel_192_read_32	32	1691	1626	34	1260	261	170	105	536
channel_469_read_206	206	2205	2250	214	1792	281	132	177	590
channel_469_read_209	209	1951	2055	33	1554	298	99	203	600
channel_469_read_208	208	6539	6804	28	5266	879	394	659	1932
channel_154_read_31	31	15787	16046	99	12854	1935	998	1257	4190
channel_154_read_36	36	2167	2221	168	1665	344	158	212	714
channel_154_read_34	34	3143	3103	2	2498	405	240	200	845
channel_154_read_35	35	6197	6395	21	4807	1012	378	576	1966
channel_474_read_132	132	2629	2542	81	1847	507	275	188	970
channel_372_read_56	56	1869	1943	29	1552	221	96	170	487
channel_372_read_57	57	1924	1902	24	1524	253	147	125	525
channel_372_read_55	55	4281	4058	1	3592	337	352	129	818
channel_372_read_52	52	1540	1535	115	1250	190	100	95	385
channel_372_read_53	53	10053	10102	109	7965	1337	751	800	2888
channel_372_read_50	50	4659	4800	8	3600	763	296	437	1496
channel_469_read_204	204	1290	1333	11	1008	172	110	153	435
channel_400_read_81	81	2274	2262	15	1574	478	222	210	910
channel_400_read_80	80	8373	8450	155	6720	1084	569	646	2299
channel_400_read_83	83	2971	2989	36	2332	432	207	225	864
channel_138_read_99	99	2978	2849	22	2337	363	278	149	790
channel_400_read_85	85	9304	9515	21	7265	1436	603	814	2853
channel_400_read_84	84	9175	9415	487	6876	1615	684	924	3223
channel_387_read_138	138	8661	8870	392	6732	1308	621	830	2759
channel_400_read_86	86	9384	8964	130	7536	1010	838	418	2266
channel_27_read_34	34	2890	3011	66	2342	371	177	298	846
channel_387_read_137	137	8990	9257	2500	5785	2377	828	1095	4300
channel_27_read_36	36	8546	8824	11	6457	1532	557	835	2924
channel_27_read_30	30	6212	6042	74	4638	1032	542	372	1946
channel_272_read_28	28	13300	13130	260	11017	1403	880	710	2993
channel_27_read_32	32	5153	5178	83	4192	624	337	362	1323
channel_27_read_33	33	2885	2781	13	1933	622	330	226	1178
channel_315_read_7	7	6335	6351	504	4997	869	469	485	1823
channel_154_read_32	32	2623	2656	100	1832	600	191	224	1015
channel_315_read_5	5	7080	7167	28	5986	703	391	478	1572
channel_315_read_4	4	4468	4242	62	2853	1072	543	317	1932
channel_483_read_82	82	7581	7375	97	5390	1403	788	582	2773
channel_315_read_2	2	1796	1845	34	1498	199	99	148	446
channel_315_read_0	0	9480	9516	16	8121	818	541	577	1936
channel_10_read_185	185	9576	9851	7	7905	1040	631	906	2577
channel_481_read_56	56	6433	6535	44	5376	622	435	537	1594
channel_12_read_177	177	2109	2306	10	1578	410	121	318	849
channel_356_read_96	96	12179	11462	42	9337	1645	1197	480	3322
channel_12_read_175	175	10141	10163	58	8060	1274	807	829	2910
channel_356_read_90	90	2774	2702	56	2099	415	260	188	863
channel_356_read_91	91	2155	2242	63	1705	329	121	208	658
channel_12_read_170	170	4443	4602	37	3430	727	286	445	1458
channel_12_read_171	171	2565	2589	247	1915	479	171	195	845
channel_130_read_210	210	6396	6360	18	4772	1056	568	532	2156
channel_12_read_179	179	2575	2608	72	1916	453	206	239	898
channel_472_read_51	51	13915	14506	396	9358	3404	1153	1744	6301
channel_361_read_50	50	9705	10346	107	6908	2125	672	1313	4110
channel_472_read_59	59	1832	1886	17	1361	332	139	193	664
