query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_469_read_201	201	3826	4908	118	3099	635	92	1174	1901
channel_248_read_75	75	295	384	5340	251	34	10	99	143
channel_469_read_206	206	678	853	1153	514	149	15	190	354
channel_469_read_209	209	1696	2053	38	1291	325	80	437	842
channel_469_read_208	208	1965	2559	3154	1561	357	47	641	1045
channel_154_read_31	31	8360	10802	4152	6694	1498	168	2610	4276
channel_154_read_36	36	1968	2318	87	1491	394	83	433	910
channel_381_read_34	34	1202	1298	208	827	318	57	153	528
channel_154_read_34	34	1304	1625	1092	1065	207	32	353	592
channel_154_read_35	35	357	456	4192	287	65	5	104	174
channel_372_read_56	56	1506	1935	26	1214	263	29	458	750
channel_372_read_57	57	710	932	751	576	113	21	243	377
channel_372_read_55	55	4084	4025	91	2965	742	377	318	1437
channel_372_read_52	52	276	289	920	206	49	21	34	104
channel_372_read_53	53	7974	10138	88	6212	1566	196	2360	4122
channel_372_read_50	50	281	338	3165	226	51	4	61	116
channel_400_read_80	80	6607	8467	140	5192	1302	113	1973	3388
channel_174_read_126	126	2531	3156	1582	1943	500	88	713	1301
channel_400_read_85	85	4038	5255	3263	3235	751	52	1269	2072
channel_400_read_84	84	2977	3758	4606	2317	573	87	868	1528
channel_387_read_138	138	3311	4126	4176	2572	634	105	920	1659
channel_400_read_86	86	7790	9028	62	5964	1609	217	1455	3281
channel_400_read_89	89	7581	8621	121	5362	1751	468	1508	3727
channel_387_read_137	137	12184	13095	2104	8608	2870	706	1617	5193
channel_27_read_36	36	3245	3404	4330	2393	632	220	379	1231
channel_387_read_132	132	1249	1586	267	984	226	39	376	641
channel_27_read_31	31	560	713	3415	433	117	10	163	290
channel_27_read_32	32	4115	5152	69	3174	882	59	1096	2037
channel_315_read_7	7	2985	3609	2655	2321	543	121	745	1409
channel_315_read_5	5	5486	7032	140	4402	993	91	1637	2721
channel_315_read_4	4	4180	4633	53	3189	827	164	617	1608
channel_483_read_82	82	637	883	5197	540	86	11	257	354
channel_315_read_2	2	1356	1685	149	1054	259	43	372	674
channel_315_read_0	0	7736	9488	45	6226	1362	148	1900	3410
channel_10_read_185	185	7884	9523	303	6121	1432	331	1970	3733
channel_12_read_177	177	1883	2166	165	1314	493	76	359	928
channel_356_read_96	96	9612	11259	218	7119	2240	253	1900	4393
channel_12_read_175	175	2058	2722	5573	1639	384	35	699	1118
channel_356_read_90	90	1007	1277	1118	789	196	22	292	510
channel_12_read_170	170	1540	1890	1913	1165	312	63	413	788
channel_12_read_171	171	1689	2045	529	1224	408	57	413	878
channel_130_read_210	210	3457	4456	1338	2723	663	71	1070	1804
channel_12_read_179	179	464	570	1470	357	91	16	122	229
channel_472_read_51	51	965	1282	11023	762	179	24	341	544
channel_472_read_50	50	356	470	6967	292	54	10	124	188
channel_406_read_278	278	938	1146	529	737	167	34	242	443
channel_472_read_59	59	1348	1579	291	998	281	69	300	650
channel_406_read_270	270	2646	3230	839	2050	524	72	656	1252
channel_406_read_276	276	4763	5575	26	3599	1022	142	954	2118
channel_494_read_65	65	552	694	2926	447	87	18	160	265
channel_445_read_161	161	559	674	730	460	76	23	138	237
channel_157_read_7	7	2302	2919	1474	1869	390	43	660	1093
channel_294_read_66	66	3150	3770	1051	2376	649	125	745	1519
channel_494_read_62	62	4695	5883	689	3647	886	162	1350	2398
channel_494_read_63	63	4417	5287	5113	3600	657	160	1030	1847
channel_272_read_26	26	11296	13316	160	8524	2451	321	2341	5113
channel_494_read_69	69	5328	6184	5205	4286	845	197	1053	2095
channel_451_read_58	58	2857	3602	8085	2255	537	65	810	1412
channel_451_read_59	59	3967	4958	1161	3116	756	95	1086	1937
channel_275_read_74	74	894	1088	3851	647	207	40	234	481
channel_373_read_90	90	3753	4421	628	2706	886	161	829	1876
channel_275_read_72	72	7522	8788	467	5292	1965	265	1531	3761
channel_373_read_96	96	6188	7500	2200	4663	1235	290	1602	3127
channel_489_read_216	216	3022	3549	58	2147	790	85	612	1487
channel_275_read_71	71	2529	3328	731	2037	449	43	842	1334
channel_451_read_50	50	5046	6346	4866	3875	983	188	1488	2659
channel_489_read_219	219	1088	1411	2417	895	173	20	343	536
channel_50_read_73	73	800	1080	5458	663	122	15	295	432
channel_451_read_53	53	1430	1864	3507	1102	295	33	467	795
channel_275_read_78	78	1278	1635	629	987	259	32	389	680
channel_282_read_54	54	3112	3878	1343	2374	649	89	855	1593
channel_282_read_53	53	1140	1419	7826	857	251	32	311	594
channel_282_read_50	50	3010	4019	2909	2365	606	39	1048	1693
channel_282_read_59	59	3977	5062	5175	3061	816	100	1185	2101
channel_503_read_206	206	1883	2423	3069	1487	348	48	588	984
channel_434_read_89	89	2729	3074	334	2011	574	144	489	1207
channel_503_read_204	204	1269	1565	440	971	252	46	342	640
channel_503_read_205	205	377	454	2433	295	68	14	91	173
channel_284_read_162	162	1184	1499	1204	912	243	29	344	616
channel_268_read_151	151	1710	1942	3489	1164	462	84	316	862
channel_268_read_153	153	1371	1658	1410	1004	313	54	341	708
channel_284_read_48	48	3630	3948	3435	2456	937	237	555	1729
channel_434_read_86	86	6476	8141	290	5139	1169	168	1833	3170
channel_505_read_22	22	7652	9298	1969	5933	1442	277	1923	3642
channel_505_read_21	21	6769	8348	727	5327	1253	189	1768	3210
channel_453_read_33	33	3470	4117	5592	2677	670	123	770	1563
channel_453_read_34	34	1722	2103	14	1354	316	52	433	801
channel_374_read_64	64	11407	11807	51	8093	2560	754	1154	4468
channel_453_read_36	36	6515	7404	76	4828	1417	270	1159	2846
channel_505_read_24	24	2759	3450	2655	2102	580	77	768	1425
channel_453_read_38	38	8989	10186	623	6733	1935	321	1518	3774
channel_453_read_39	39	4352	5489	174	3516	728	108	1245	2081
channel_505_read_28	28	7940	8759	35	5929	1643	368	1187	3198
channel_295_read_35	35	564	750	6763	443	117	4	190	311
channel_402_read_69	69	7987	9764	2551	6123	1554	310	2087	3951
channel_365_read_2	2	2328	3029	1544	1884	407	37	738	1182
channel_402_read_61	61	5847	6162	175	4490	1041	316	631	1988
channel_402_read_63	63	10540	12956	284	8395	1835	310	2726	4871
channel_391_read_139	139	1482	1990	2459	1196	273	13	521	807
channel_402_read_65	65	4350	4691	70	3215	874	261	602	1737
channel_402_read_64	64	2442	2897	227	1818	552	72	527	1151
channel_452_read_13	13	2602	2877	138	1781	670	151	426	1247
channel_495_read_29	29	6810	7352	176	5013	1441	356	898	2695
channel_452_read_17	17	699	803	1561	520	127	52	156	335
channel_382_read_85	85	7393	8318	166	5130	1893	370	1295	3558
channel_452_read_15	15	2079	2745	3040	1711	336	32	698	1066
channel_382_read_88	88	834	1133	7016	673	152	9	308	469
channel_316_read_34	34	3216	4199	1724	2606	550	60	1043	1653
channel_452_read_19	19	1220	1610	538	956	235	29	419	683
channel_484_read_41	41	2346	2772	23	1881	402	63	489	954
channel_311_read_170	170	1491	2011	526	1215	251	25	545	821
channel_484_read_43	43	3432	4081	69	2699	586	147	796	1529
channel_484_read_42	42	3437	4050	101	2630	639	168	781	1588
channel_311_read_175	175	3410	4361	385	2636	704	70	1021	1795
channel_311_read_174	174	9454	9288	170	6768	1745	941	775	3461
channel_484_read_47	47	7386	8377	3902	5201	1853	332	1323	3508
channel_311_read_176	176	6567	7930	447	5012	1440	115	1478	3033
channel_484_read_49	49	5523	6454	1028	4150	1090	283	1214	2587
channel_484_read_48	48	7176	8473	2500	5485	1355	336	1633	3324
channel_2_read_89	89	4251	5414	7985	3288	859	104	1267	2230
channel_491_read_228	228	3019	3925	1988	2413	520	86	992	1598
channel_400_read_87	87	444	509	4781	337	81	26	91	198
channel_156_read_98	98	1166	1533	182	934	215	17	384	616
channel_156_read_99	99	4389	5420	5891	3475	774	140	1171	2085
channel_156_read_96	96	314	393	2510	257	48	9	88	145
channel_156_read_97	97	3514	4535	4341	2850	606	58	1079	1743
channel_491_read_222	222	4744	4848	58	3617	804	323	427	1554
channel_491_read_223	223	574	704	4184	450	103	21	151	275
channel_491_read_224	224	8371	8403	81	6240	1419	712	744	2875
channel_156_read_93	93	3431	3877	1201	2487	788	156	602	1546
channel_156_read_90	90	1758	2136	147	1332	362	64	442	868
channel_491_read_227	227	6290	6473	223	4495	1347	448	631	2426
channel_427_read_39	39	9142	10921	2838	6940	1803	399	2178	4380
channel_42_read_208	208	4786	5920	4198	3713	920	153	1287	2360
channel_416_read_48	48	3473	3843	142	2401	907	165	535	1607
channel_400_read_88	88	3222	4254	5850	2537	619	66	1098	1783
channel_427_read_31	31	8078	9810	25	6198	1584	296	2028	3908
channel_42_read_200	200	947	1175	5476	730	178	39	267	484
channel_427_read_33	33	5244	6606	4270	4304	824	116	1478	2418
channel_427_read_37	37	7094	7381	133	4689	1872	533	820	3225
channel_42_read_206	206	2698	3278	2847	2013	596	89	669	1354
channel_287_read_272	272	3789	4966	161	3032	690	67	1244	2001
channel_132_read_20	20	3461	4569	1115	2784	604	73	1181	1858
channel_287_read_270	270	6456	8072	128	4974	1294	188	1804	3286
channel_132_read_22	22	3570	4420	4125	2803	680	87	937	1704
channel_132_read_25	25	887	1061	5223	647	200	40	214	454
channel_132_read_27	27	8891	10608	1403	6795	1903	193	1910	4006
channel_132_read_26	26	4097	5368	742	3260	769	68	1339	2176
channel_132_read_29	29	2149	2774	110	1749	365	35	660	1060
channel_149_read_26	26	5046	5451	5837	3611	1046	389	794	2229
channel_149_read_23	23	4466	4818	123	3210	1022	234	586	1842
channel_149_read_22	22	11038	12894	1594	8188	2491	359	2215	5065
channel_387_read_130	130	1204	1197	58	877	220	107	100	427
channel_397_read_68	68	7281	8070	126	5399	1525	357	1146	3028
channel_61_read_59	59	8520	10662	1531	6797	1463	260	2402	4125
channel_483_read_83	83	6226	7456	5735	4704	1301	221	1451	2973
