query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_442_read_14	14	11235	11099	76	8728	1632	875	739	3246
channel_138_read_216	216	10367	10136	6	8744	867	756	525	2148
channel_381_read_34	34	1584	1522	17	1283	152	149	87	388
channel_311_read_65	65	5222	5109	94	4012	761	449	336	1546
channel_505_read_288	288	4817	5137	29	3580	950	287	607	1844
channel_230_read_50	50	6664	6424	64	5568	587	509	269	1365
channel_475_read_81	81	1748	1646	33	1323	219	206	104	529
channel_258_read_67	67	5518	6714	3366	4257	1105	156	1352	2613
channel_154_read_32	32	2623	2656	100	1832	600	191	224	1015
channel_490_read_136	136	6027	5518	86	3808	1343	876	367	2586
channel_464_read_271	271	7232	7202	8	5621	1087	524	494	2105
channel_475_read_157	157	3484	3309	27	2784	364	336	161	861
channel_10_read_242	242	2983	2984	0	2440	344	199	200	743
channel_258_read_47	47	3581	3826	77	2760	595	226	471	1292
channel_138_read_219	219	5076	4873	19	4194	431	451	248	1130
channel_421_read_68	68	6529	6960	17	5532	736	261	692	1689
channel_466_read_70	70	8021	7700	23	6576	754	691	370	1815
channel_282_read_133	133	2988	3004	27	2507	311	170	186	667
channel_284_read_83	83	2393	2244	17	1837	296	260	111	667
channel_230_read_113	113	7148	7963	27	5662	1144	342	1157	2643
channel_372_read_55	55	4281	4058	1	3592	337	352	129	818
channel_391_read_176	176	4754	4597	5	3516	786	452	295	1533
channel_466_read_79	79	1933	1974	34	1499	295	139	180	614
channel_406_read_123	123	8522	8386	7	6555	1257	710	574	2541
channel_285_read_69	69	3736	4002	96	2443	1032	261	527	1820
channel_146_read_55	55	4791	4540	8798	3080	1103	608	357	2068
channel_48_read_41	41	9447	8937	67	7075	1434	938	428	2800
channel_46_read_42	42	4316	4179	59	3316	617	383	246	1246
channel_387_read_137	137	8990	9257	2500	5785	2377	828	1095	4300
channel_27_read_36	36	8546	8824	11	6457	1532	557	835	2924
channel_195_read_192	192	10543	10229	4	8678	1000	865	551	2416
channel_195_read_194	194	6468	6281	26	5297	681	490	303	1474
channel_387_read_130	130	1144	1165	73	934	134	76	97	307
channel_341_read_48	48	7613	8118	410	5170	1918	525	1030	3473
channel_390_read_106	106	1354	1336	6	1167	108	79	61	248
channel_479_read_60	60	12722	12619	99	8198	3230	1294	1191	5715
channel_315_read_4	4	4468	4242	62	2853	1072	543	317	1932
channel_132_read_61	61	1648	1941	5	1409	195	44	337	576
channel_46_read_235	235	4681	4634	8	3717	586	378	331	1295
channel_193_read_140	140	2396	2382	12	1858	355	183	169	707
channel_495_read_2	2	1919	1872	200	1555	218	146	99	463
channel_160_read_29	29	13224	13265	56	10496	1807	921	962	3690
channel_354_read_198	198	4815	4101	5114	3233	710	872	158	1740
channel_415_read_13	13	2872	2789	27	2078	507	287	204	998
channel_35_read_26	26	6154	5905	18	4929	669	556	307	1532
channel_12_read_177	177	2109	2306	10	1578	410	121	318	849
channel_275_read_140	140	1933	1798	147	1417	292	224	89	605
channel_195_read_173	173	4269	4275	41	3237	716	316	322	1354
channel_295_read_80	80	543	555	2515	369	122	52	64	238
channel_506_read_71	71	4535	4523	5165	3962	337	236	224	797
channel_239_read_118	118	4928	5101	807	3692	893	343	516	1752
channel_314_read_92	92	2785	2810	14	2127	473	185	210	868
channel_471_read_128	128	3034	2963	15	2556	257	221	150	628
channel_195_read_276	276	1581	1533	15	1302	157	122	74	353
channel_34_read_147	147	3493	3425	51	2793	418	282	214	914
channel_330_read_61	61	2247	2678	5480	1589	581	77	508	1166
channel_176_read_11	11	1304	1197	800	832	272	200	93	565
channel_381_read_82	82	10102	9919	10	8790	691	621	438	1750
channel_507_read_147	147	5859	5726	65	4964	499	396	263	1158
channel_314_read_218	218	10358	9764	34	8691	731	936	342	2009
channel_155_read_107	107	2001	2046	30	1514	344	143	188	675
channel_507_read_143	143	4126	3836	43	3295	413	418	128	959
channel_391_read_14	14	14875	15710	12	12745	1574	556	1391	3521
channel_482_read_134	134	10824	10554	129	8773	1220	831	561	2612
channel_487_read_58	58	5715	5645	23	4699	610	406	336	1352
channel_394_read_186	186	2609	2985	63	1864	627	118	494	1239
channel_432_read_31	31	8544	8173	212	5482	2037	1025	654	3716
channel_482_read_133	133	5839	5722	6	5107	386	346	229	961
channel_157_read_16	16	5549	5672	5957	3597	1456	496	619	2571
channel_139_read_157	157	9827	9343	34	8183	776	868	384	2028
channel_195_read_288	288	5129	5202	19	4249	584	296	369	1249
channel_387_read_65	65	8299	9337	42	6801	1230	268	1306	2804
channel_139_read_154	154	4309	3938	2	3335	453	521	150	1124
channel_258_read_13	13	7043	6506	31	4464	1594	985	448	3027
channel_129_read_91	91	2349	2133	100	1585	440	324	108	872
channel_270_read_143	143	2476	2462	65	2001	309	166	152	627
channel_373_read_90	90	4709	4937	214	3377	994	338	566	1898
channel_206_read_8	8	8041	8100	5	6483	1020	538	597	2155
channel_3_read_119	119	5568	5535	12	4538	641	389	356	1386
channel_354_read_232	232	3957	3856	36	3402	278	277	176	731
channel_315_read_22	22	2063	2755	2071	1733	299	31	723	1053
channel_311_read_19	19	2405	2472	68	1970	293	142	209	644
channel_374_read_124	124	3504	3472	154	2396	760	348	316	1424
channel_12_read_84	84	2459	2488	213	1843	430	186	215	831
channel_387_read_262	262	2389	2348	113	1881	309	199	158	666
channel_195_read_306	306	3741	3562	10	3107	316	318	139	773
channel_277_read_37	37	5051	4943	123	4225	477	349	241	1067
channel_480_read_217	217	5288	5268	87	3679	1113	496	476	2085
channel_458_read_25	25	8892	8381	344	5473	2269	1150	639	4058
channel_306_read_55	55	6398	6348	24	5431	574	393	343	1310
channel_317_read_167	167	1891	1978	3043	1210	555	126	213	894
