query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_314_read_20	20	4236	5218	1094	3603	538	95	1077	1710
channel_445_read_47	47	8561	8952	220	7324	883	354	745	1982
channel_45_read_200	200	6870	6915	29	5902	576	392	437	1405
channel_7_read_56	56	13590	13658	386	10401	2205	984	1052	4241
channel_7_read_55	55	13474	13094	16	10973	1490	1011	631	3132
channel_45_read_203	203	5106	5519	171	4147	720	239	652	1611
channel_7_read_53	53	2733	2672	83	2237	271	225	164	660
channel_7_read_52	52	12453	13904	84	9598	2297	558	2009	4864
channel_45_read_207	207	7917	8014	21	6204	1146	567	664	2377
channel_321_read_119	119	5738	5824	55	4778	635	325	411	1371
channel_7_read_58	58	18911	19197	5	15746	2127	1038	1324	4489
channel_74_read_68	68	1189	1234	21	1017	113	59	104	276
channel_105_read_124	124	574	608	140	437	108	29	63	200
channel_305_read_32	32	11619	12517	27	9544	1564	511	1409	3484
channel_203_read_116	116	3478	3805	30	2883	464	131	458	1053
channel_203_read_115	115	1860	1997	72	1514	260	86	223	569
channel_305_read_31	31	14093	14619	55	11563	1776	754	1280	3810
channel_305_read_37	37	6679	6846	4	5849	542	288	455	1285
channel_305_read_34	34	2170	2207	20	1864	180	126	163	469
channel_315_read_7	7	1752	1758	47	1485	184	83	89	356
channel_315_read_6	6	7053	7263	32	6048	684	321	531	1536
channel_272_read_29	29	263	331	1398	213	41	9	77	127
channel_413_read_30	30	2418	2551	263	1963	350	105	238	693
channel_315_read_2	2	1059	1037	11	955	54	50	28	132
channel_413_read_32	32	2206	2329	72	1805	291	110	233	634
channel_413_read_33	33	3282	3278	21	2816	274	192	188	654
channel_315_read_9	9	8835	8915	8	7777	667	391	471	1529
channel_315_read_8	8	5094	5077	57	4279	496	319	302	1117
channel_362_read_19	19	9851	10027	5	8390	977	484	660	2121
channel_362_read_11	11	4894	5101	11	4384	356	154	361	871
channel_362_read_10	10	3911	3920	13	3561	175	175	184	534
channel_362_read_13	13	7006	6999	22	5966	639	401	394	1434
channel_362_read_15	15	9993	10413	65	8027	1466	500	920	2886
channel_362_read_14	14	5703	6196	14	4529	896	278	771	1945
channel_362_read_17	17	10529	10738	60	9256	825	448	657	1930
channel_494_read_65	65	3293	3457	25	2850	315	128	292	735
channel_494_read_63	63	7647	7763	39	6236	968	443	559	1970
channel_129_read_6	6	10411	10344	94	8545	1134	732	665	2531
channel_84_read_16	16	2131	2584	47	1823	273	35	488	796
channel_129_read_4	4	2484	2669	209	2109	303	72	257	632
channel_129_read_2	2	5241	5290	30	4356	540	345	394	1279
channel_494_read_69	69	10609	11476	25	9170	1106	333	1200	2639
channel_84_read_11	11	1412	1517	158	1127	215	70	175	460
channel_84_read_10	10	2957	3888	1836	2433	476	48	979	1503
channel_7_read_54	54	1846	2166	2473	1441	336	69	389	794
channel_51_read_233	233	6477	7844	313	5276	1034	167	1534	2735
channel_321_read_113	113	5806	6570	13	4531	1063	212	976	2251
channel_268_read_155	155	5725	6528	17	4847	710	168	971	1849
channel_268_read_156	156	7217	7419	31	6363	538	316	518	1372
channel_485_read_37	37	4682	5331	89	4038	515	129	778	1422
channel_485_read_32	32	5848	6046	122	4113	1299	436	634	2369
channel_15_read_79	79	5086	5514	96	3832	987	267	695	1949
channel_402_read_69	69	6787	7065	5	5937	588	262	540	1390
channel_194_read_195	195	10899	11086	17	9603	710	586	773	2069
channel_109_read_80	80	2633	3314	63	2183	388	62	743	1193
channel_133_read_101	101	9157	9681	12	7757	966	434	958	2358
