query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_314_read_20	20	4331	5003	1441	3565	455	311	983	1749
channel_192_read_33	33	1493	1614	152	1195	162	136	257	555
channel_45_read_200	200	2913	3010	3848	2286	303	324	421	1048
channel_7_read_56	56	2733	2801	10732	2065	340	328	396	1064
channel_7_read_55	55	1960	2118	10291	1552	231	177	335	743
channel_45_read_203	203	2420	2500	3187	1885	263	272	352	887
channel_7_read_53	53	2088	2204	540	1629	226	233	349	808
channel_7_read_52	52	4916	5308	8025	3885	519	512	904	1935
channel_45_read_207	207	1248	1360	6883	974	156	118	230	504
channel_321_read_119	119	2742	2921	2805	2183	289	270	449	1008
channel_7_read_58	58	3963	4277	13891	3134	438	391	705	1534
channel_105_read_124	124	956	930	99	749	86	121	95	302
channel_305_read_32	32	2919	3196	8669	2289	352	278	555	1185
channel_203_read_116	116	628	723	2894	505	71	52	147	270
channel_203_read_115	115	1329	1479	564	1088	144	97	247	488
channel_305_read_31	31	2446	2615	10957	1950	239	257	426	922
channel_305_read_37	37	2888	3110	3716	2345	306	237	459	1002
channel_203_read_111	111	62	68	2475	56	5	1	7	13
channel_315_read_7	7	1699	1779	17	1364	189	146	226	561
channel_315_read_6	6	3268	3469	3574	2593	350	325	526	1201
channel_272_read_29	29	286	265	2055	210	25	51	30	106
channel_413_read_30	30	1138	1296	1199	927	119	92	250	461
channel_315_read_2	2	1007	1034	50	831	80	96	123	299
channel_413_read_32	32	1886	2053	386	1506	191	189	356	736
channel_413_read_33	33	946	1023	2114	795	83	68	145	296
channel_413_read_38	38	6407	6622	529	5034	700	673	888	2261
channel_413_read_39	39	1149	1304	8157	917	141	91	246	478
channel_315_read_9	9	8165	8584	340	6543	845	777	1196	2818
channel_315_read_8	8	4603	4957	258	3651	534	418	772	1724
channel_362_read_19	19	3270	3352	6418	2519	349	402	484	1235
channel_362_read_11	11	4604	4985	145	3773	457	374	755	1586
channel_362_read_10	10	3351	3602	358	2711	351	289	540	1180
channel_362_read_13	13	6490	6837	219	5115	712	663	1010	2385
channel_362_read_15	15	2320	2924	6284	2006	217	97	701	1015
channel_362_read_14	14	2688	2899	3132	2176	274	238	449	961
channel_362_read_17	17	5354	5639	5036	4263	575	516	801	1892
channel_494_read_65	65	1934	2152	1233	1588	187	159	377	723
channel_247_read_95	95	2692	2821	1542	2095	294	303	432	1029
channel_494_read_63	63	1095	1148	6562	842	137	116	169	422
channel_129_read_6	6	3418	3728	6351	2739	375	304	614	1293
channel_84_read_16	16	2232	2495	153	1807	257	168	431	856
channel_129_read_4	4	1228	1382	1415	980	166	82	236	484
channel_129_read_2	2	3407	3496	1649	2583	427	397	486	1310
channel_494_read_69	69	2427	2671	8198	1988	250	189	433	872
channel_84_read_11	11	1463	1668	205	1183	167	113	318	598
channel_84_read_10	10	141	170	4932	122	16	3	32	51
channel_7_read_54	54	1222	1334	3702	971	135	116	228	479
channel_51_read_233	233	898	1123	5935	756	103	39	264	406
channel_321_read_113	113	168	195	5206	142	12	14	41	67
channel_268_read_155	155	5991	6478	113	4878	592	521	1008	2121
channel_268_read_156	156	3573	4098	3164	2977	370	226	751	1347
channel_485_read_37	37	3325	3669	1692	2693	344	288	632	1264
channel_15_read_72	72	2260	2504	10761	1771	254	235	479	968
channel_485_read_33	33	434	491	12101	351	44	39	96	179
channel_485_read_38	38	1427	1572	11152	1128	162	137	282	581
channel_15_read_79	79	1671	1851	3417	1318	194	159	339	692
channel_402_read_69	69	4177	4474	2441	3310	459	408	705	1572
channel_402_read_68	68	530	601	275	433	62	35	106	203
channel_74_read_113	113	14263	15377	197	11726	1339	1198	2312	4849
channel_109_read_80	80	839	1001	2077	699	83	57	219	359
channel_133_read_101	101	3814	4065	5388	3033	392	389	640	1421
channel_402_read_60	60	2546	2749	1459	2035	248	263	466	977
channel_402_read_63	63	3411	3603	2117	2774	329	308	500	1137
channel_402_read_67	67	2166	2293	71	1762	203	201	328	732
channel_74_read_117	117	6227	6719	3444	4997	641	589	1081	2311
channel_252_read_115	115	1858	1900	237	1447	189	222	264	675
channel_252_read_119	119	308	304	68	247	18	43	39	100
channel_252_read_118	118	111	109	4050	90	9	12	10	31
channel_406_read_95	95	895	994	5958	715	100	80	179	359
channel_300_read_131	131	239	262	783	194	28	17	40	85
channel_385_read_46	46	5750	6286	5004	4639	602	509	1045	2156
channel_385_read_44	44	203	243	2042	181	15	7	47	69
channel_385_read_42	42	5051	5261	6106	4004	486	561	771	1818
channel_385_read_41	41	379	411	882	306	42	31	63	136
channel_385_read_40	40	1439	1426	93	1134	123	182	169	474
channel_385_read_49	49	1222	1311	1088	975	135	112	201	448
channel_512_read_87	87	1311	1535	2920	1071	126	114	338	578
channel_512_read_86	86	807	917	5933	653	93	61	171	325
channel_512_read_81	81	4776	5091	3370	3766	525	485	800	1810
channel_258_read_101	101	4559	5175	327	3731	513	315	931	1759
channel_258_read_102	102	2696	2944	1672	2230	241	225	473	939
channel_149_read_28	28	2162	2321	6818	1734	236	192	351	779
channel_149_read_26	26	3550	3815	5334	2854	373	323	588	1284
channel_149_read_25	25	2514	2714	2037	1993	267	254	454	975
channel_149_read_24	24	2913	3074	244	2306	327	280	441	1048
channel_149_read_23	23	6150	6340	75	4878	594	678	868	2140
channel_258_read_109	109	6982	8011	15984	5843	680	459	1488	2627
channel_149_read_21	21	5309	5679	737	4277	521	511	881	1913
channel_149_read_20	20	4169	4410	3648	3266	496	407	648	1551
channel_120_read_21	21	3305	3634	5610	2624	388	293	622	1303
channel_449_read_20	20	363	366	312	285	37	41	44	122
channel_449_read_26	26	1159	1272	4363	927	119	113	226	458
channel_305_read_34	34	1731	1818	424	1398	177	156	243	576
channel_160_read_125	125	4317	4463	4186	3327	535	455	601	1591
channel_339_read_17	17	1957	2444	2117	1651	207	99	586	892
channel_413_read_34	34	5404	5946	5600	4421	568	415	957	1940
channel_492_read_42	42	410	506	11148	347	39	24	120	183
channel_45_read_39	39	1770	1939	13397	1433	187	150	319	656
channel_45_read_30	30	2482	2599	5555	1905	310	267	384	961
channel_45_read_31	31	448	456	117	341	52	55	63	170
channel_123_read_60	60	2227	2407	2350	1823	211	193	373	777
channel_315_read_1	1	3730	4029	6082	3016	379	335	634	1348
channel_443_read_44	44	1234	1479	7423	1020	139	75	320	534
channel_469_read_96	96	6383	6374	105	5082	538	763	754	2055
channel_5_read_48	48	5286	5609	3979	4259	530	497	820	1847
channel_5_read_43	43	842	884	4594	662	95	85	127	307
channel_5_read_40	40	1387	1489	2177	1111	160	116	218	494
channel_204_read_105	105	1193	1135	8305	872	137	184	126	447
channel_340_read_61	61	981	1013	973	782	105	94	126	325
channel_340_read_62	62	372	388	222	300	39	33	49	121
channel_204_read_106	106	1132	1302	3990	938	115	79	249	443
channel_340_read_64	64	290	285	62	224	21	45	40	106
channel_204_read_100	100	723	815	443	616	59	48	140	247
channel_204_read_103	103	7031	7511	89	5605	774	652	1132	2558
channel_340_read_68	68	1783	1989	1891	1473	201	109	315	625
channel_204_read_109	109	158	168	928	131	11	16	26	53
channel_204_read_108	108	571	661	3993	469	67	35	125	227
channel_358_read_109	109	1488	1715	5800	1245	150	93	320	563
channel_358_read_104	104	7220	7709	3826	5816	777	627	1116	2520
channel_216_read_21	21	4650	5002	65	3779	465	406	758	1629
