query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_314_read_20	20	2039	2518	3291	1782	167	90	569	826
channel_445_read_47	47	8534	8907	247	7479	481	574	947	2002
channel_45_read_200	200	6867	6912	32	6011	332	524	569	1425
channel_7_read_56	56	6081	6035	7895	4936	490	655	609	1754
channel_7_read_55	55	7997	7694	5493	6637	492	868	565	1925
channel_45_read_203	203	2618	2844	2659	2203	206	209	435	850
channel_7_read_53	53	2733	2672	83	2290	149	294	233	676
channel_7_read_52	52	1959	2178	10578	1622	188	149	368	705
channel_45_read_207	207	4400	4611	3538	3706	330	364	575	1269
channel_321_read_119	119	3627	3685	2166	3102	217	308	366	891
channel_7_read_58	58	8203	8324	10713	6983	558	662	783	2003
channel_74_read_68	68	1189	1234	21	1032	80	77	122	279
channel_105_read_124	124	398	455	316	345	36	17	74	127
channel_305_read_32	32	5986	6478	5660	5050	484	452	944	1880
channel_203_read_116	116	3478	3805	30	2968	273	237	564	1074
channel_203_read_115	115	1416	1508	516	1230	91	95	187	373
channel_305_read_31	31	11134	11535	3014	9530	737	867	1268	2872
channel_305_read_37	37	3390	3456	3293	3018	154	218	284	656
channel_305_read_34	34	2170	2207	20	1897	107	166	203	476
channel_413_read_34	34	10411	10789	898	9241	531	639	1017	2187
channel_315_read_6	6	7040	7250	45	6158	428	454	664	1546
channel_413_read_30	30	2076	2171	605	1785	133	158	253	544
channel_315_read_2	2	1059	1037	11	968	28	63	41	132
channel_413_read_32	32	1261	1316	1017	1072	86	103	158	347
channel_413_read_33	33	3282	3278	21	2865	161	256	252	669
channel_315_read_9	9	8826	8904	17	7895	393	538	616	1547
channel_315_read_8	8	2535	2533	2616	2156	158	221	219	598
channel_362_read_19	19	9851	10027	5	8572	561	718	894	2173
channel_362_read_11	11	4894	5101	11	4449	221	224	431	876
channel_362_read_10	10	3911	3920	13	3589	115	207	216	538
channel_362_read_13	13	6960	6953	68	6054	360	546	539	1445
channel_362_read_15	15	6285	6612	3773	5452	414	419	746	1579
channel_362_read_14	14	1772	1889	3945	1474	166	132	249	547
channel_362_read_17	17	6149	6301	4440	5516	295	338	490	1123
channel_494_read_65	65	3284	3449	34	2898	196	190	355	741
channel_494_read_63	63	5771	5922	1915	4953	374	444	595	1413
channel_129_read_6	6	5111	5017	5394	4284	286	541	447	1274
channel_84_read_16	16	1301	1560	877	1162	89	50	309	448
channel_129_read_4	4	2367	2552	326	2072	187	108	293	588
channel_129_read_2	2	3789	3837	1482	3244	221	324	372	917
channel_494_read_69	69	5999	6505	4635	5276	366	357	863	1586
channel_84_read_11	11	1151	1225	419	974	90	87	161	338
channel_84_read_10	10	930	1191	3863	835	65	30	291	386
channel_7_read_54	54	495	589	3824	421	46	28	122	196
channel_51_read_233	233	1409	1646	5381	1177	132	100	337	569
channel_321_read_113	113	1588	1768	4231	1316	149	123	303	575
channel_268_read_155	155	3647	4101	2095	3240	221	186	640	1047
channel_268_read_156	156	7183	7391	65	6434	325	424	632	1381
channel_485_read_37	37	4325	4893	446	3838	274	213	781	1268
channel_485_read_32	32	708	739	5262	543	77	88	119	284
channel_15_read_79	79	1693	1801	3489	1352	153	188	296	637
channel_402_read_69	69	6787	7065	5	6036	372	379	657	1408
channel_74_read_113	113	11148	12118	3525	10159	488	501	1471	2460
channel_109_read_80	80	840	1012	1856	734	65	41	213	319
channel_133_read_101	101	9148	9671	21	7926	577	645	1168	2390
channel_402_read_60	60	3987	4089	48	3543	193	251	353	797
channel_402_read_63	63	4983	5052	784	4393	240	350	419	1009
channel_402_read_67	67	1518	1578	787	1398	48	72	132	252
channel_74_read_117	117	9804	10248	47	8740	501	563	1007	2071
channel_252_read_115	115	2017	2053	23	1750	111	156	192	459
channel_385_read_46	46	5928	6255	5434	5349	277	302	629	1208
channel_385_read_44	44	1142	1257	1414	968	96	78	193	367
channel_385_read_42	42	11395	11895	98	10216	556	623	1123	2302
channel_385_read_41	41	1227	1289	76	1079	70	78	140	288
