query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_445_read_47	47	8049	8915	230	6000	1757	292	1158	3207
channel_45_read_200	200	5989	6917	25	4617	1204	168	1096	2468
channel_7_read_56	56	12077	13937	59	9076	2628	373	2233	5234
channel_7_read_55	55	11528	13103	6	8640	2536	352	1927	4815
channel_45_read_203	203	5005	5473	359	3624	1108	273	741	2122
channel_7_read_53	53	2434	2669	72	1789	534	111	346	991
channel_7_read_52	52	12675	13975	41	8468	3521	686	1986	6193
channel_45_read_206	206	8832	8988	7977	5838	2254	740	896	3890
channel_45_read_207	207	7424	8018	31	5397	1643	384	978	3005
channel_157_read_84	84	4756	5422	207	3410	1164	182	848	2194
channel_321_read_119	119	5546	5818	62	4015	1163	368	640	2171
channel_7_read_59	59	886	963	75	634	200	52	129	381
channel_7_read_58	58	16796	19174	20	12545	3747	504	2882	7133
channel_437_read_117	117	5578	6294	1032	3960	1305	313	1029	2647
channel_305_read_38	38	1255	1622	5270	952	280	23	390	693
channel_437_read_115	115	7796	8542	124	5308	2059	429	1175	3663
channel_184_read_186	186	2119	2332	47	1559	450	110	323	883
channel_387_read_138	138	5512	6771	203	4081	1262	169	1428	2859
channel_437_read_111	111	4563	5581	6241	3390	1024	149	1167	2340
channel_305_read_32	32	6212	6566	5668	4440	1377	395	749	2521
channel_105_read_128	128	244	251	53	174	53	17	24	94
channel_203_read_115	115	1787	1929	141	1282	409	96	238	743
channel_305_read_31	31	12944	14375	322	9142	3266	536	1967	5769
channel_305_read_36	36	194	200	4	150	36	8	14	58
channel_305_read_37	37	6232	6845	3	4722	1234	276	889	2399
channel_305_read_34	34	2000	2192	35	1510	396	94	286	776
channel_203_read_110	110	6594	7124	120	4667	1494	433	963	2890
channel_315_read_7	7	2409	2607	64	1747	555	107	305	967
channel_315_read_6	6	6612	7306	18	5015	1324	273	967	2564
channel_315_read_5	5	899	981	890	641	232	26	108	366
channel_315_read_4	4	10558	11683	29	7851	2285	422	1547	4254
channel_413_read_30	30	2465	2799	237	1885	499	81	415	995
channel_315_read_2	2	984	1033	26	801	132	51	100	283
channel_413_read_32	32	2059	2346	44	1452	502	105	392	999
channel_315_read_0	0	6513	6934	1638	4827	1358	328	749	2435
channel_413_read_38	38	6195	7094	27	4723	1296	176	1075	2547
channel_413_read_39	39	2062	2371	34	1536	459	67	376	902
channel_315_read_9	9	8020	8901	22	6022	1725	273	1154	3152
channel_315_read_8	8	2384	2565	2442	1723	540	121	302	963
channel_359_read_136	136	517	668	1489	406	106	5	156	267
channel_362_read_19	19	9113	10012	75	6716	2008	389	1288	3685
channel_316_read_30	30	8684	9482	684	5954	2284	446	1244	3974
channel_247_read_90	90	2035	2555	6651	1508	470	57	577	1104
channel_194_read_158	158	881	907	42	660	136	85	111	332
channel_362_read_11	11	4401	5092	20	3391	897	113	804	1814
channel_362_read_10	10	3519	3923	10	2804	611	104	508	1223
channel_362_read_13	13	6349	6997	25	4829	1256	264	912	2432
channel_362_read_12	12	836	969	13	639	182	15	148	345
channel_362_read_15	15	9492	10412	71	7097	2024	371	1291	3686
